ProblemSet,RavensProblem,Agent's Answer
Basic Problems C,Basic Problem C-01,3
Basic Problems C,Basic Problem C-02,2
Basic Problems C,Basic Problem C-03,8
Basic Problems C,Basic Problem C-04,4
Basic Problems C,Basic Problem C-05,6
Basic Problems C,Basic Problem C-06,8
Basic Problems C,Basic Problem C-07,8
Basic Problems C,Basic Problem C-08,8
Basic Problems C,Basic Problem C-09,1
Basic Problems C,Basic Problem C-10,2
Basic Problems C,Basic Problem C-11,4
Basic Problems C,Basic Problem C-12,8
Basic Problems B,Basic Problem B-01,2
Basic Problems B,Basic Problem B-02,5
Basic Problems B,Basic Problem B-03,1
Basic Problems B,Basic Problem B-04,3
Basic Problems B,Basic Problem B-05,4
Basic Problems B,Basic Problem B-06,5
Basic Problems B,Basic Problem B-07,6
Basic Problems B,Basic Problem B-08,6
Basic Problems B,Basic Problem B-09,1
Basic Problems B,Basic Problem B-10,3
Basic Problems B,Basic Problem B-11,1
Basic Problems B,Basic Problem B-12,1
Challenge Problems B,Challenge Problem B-01,6
Challenge Problems B,Challenge Problem B-02,1
Challenge Problems B,Challenge Problem B-03,1
Challenge Problems B,Challenge Problem B-04,2
Challenge Problems B,Challenge Problem B-05,6
Challenge Problems B,Challenge Problem B-06,3
Challenge Problems B,Challenge Problem B-07,6
Challenge Problems B,Challenge Problem B-08,6
Challenge Problems B,Challenge Problem B-09,4
Challenge Problems B,Challenge Problem B-10,4
Challenge Problems B,Challenge Problem B-11,5
Challenge Problems B,Challenge Problem B-12,1
